"Ar","Eignir alls","Eignir medaltal","Eignir midgildi","Fasteignir","Okutæki","Innlan","Verdbrjef","Adrar eignir","Skuldir alls","Skuldir medaltal","Skuldir midgildi","Ibudarlan","Adrar skuldir","Eigid fje alls (eignir – skuldir)","Eigid fje í fasteign","Eigid fje annad","Fjoldi í hop","Skuldsettir, medaltal skulda","Fjoldi skuldsettra"
"1997",36893,2.6,1.2,27423,5276,1458,2020,716,34992,2.5,1.3,23832,11160,1900,3592,-1691,14178,3.4,10150
"1998",41306,2.8,1.3,30777,6168,1575,2227,559,38598,2.6,1.5,26526,12073,2707,4251,-1544,14665,3.7,10556
"1999",48959,3.3,1.5,36993,7122,1934,2367,542,44558,3,1.6,30762,13796,4400,6231,-1831,14951,4.1,10755
"2000",56759,3.7,1.5,42936,8157,2379,2706,581,52101,3.4,1.8,35706,16395,4659,7231,-2572,15543,4.6,11382
"2001",63070,3.9,1.2,50166,7314,2623,2379,586,58091,3.6,1.8,40252,17839,4979,9914,-4936,16086,5.1,11485
"2002",63528,4,1.1,51440,6448,3088,2054,498,59615,3.8,1.7,41813,17802,3913,9627,-5714,15706,5.3,11296
"2003",69359,4.4,1,57967,6085,2719,2076,512,68184,4.3,1.9,46178,22006,1175,11789,-10614,15695,6,11397
"2004",80880,5,1.1,68470,6510,3078,2268,554,75917,4.7,1.8,53209,22708,4963,15260,-10298,16019,6.6,11578
"2005",103272,6.1,1,88430,7893,3722,2539,688,90630,5.4,1.8,61680,28950,12642,26750,-14108,16890,7.6,11955
"2006",114252,6.2,0.8,96207,8980,4630,3364,1070,106631,5.8,1.7,71785,34846,7621,24423,-16802,18484,8.5,12571
"2007",140067,7,0.9,116354,11355,5934,5301,1123,132859,6.7,1.9,90083,42776,7208,26271,-19064,19970,9.9,13360
"2008",140142,6.7,1.2,108950,11679,15795,2445,1273,152611,7.3,1.8,102001,50610,-12469,6949,-19418,20925,11.6,13165
"2009",122522,6.3,1.2,93224,9915,15752,2544,1086,153678,7.8,2.6,94781,58897,-31155,-1557,-29599,19577,9.4,16276
"2010",98447,5.2,0.9,71659,8557,14462,2792,977,129414,6.9,2.2,76786,52628,-30968,-5127,-25840,18874,7.8,16535
"2011",91560,5.1,0.8,67795,7836,12591,2456,881,110883,6.1,2,64084,46799,-19323,3711,-23034,18082,7.1,15682
"2012",89975,5,0.8,66761,7775,12048,2499,892,102684,5.7,1.8,57108,45577,-12709,9653,-22363,17955,6.6,15578
"2013",91721,4.9,0.7,66559,8018,13257,2987,900,99695,5.3,1.5,53127,46568,-7974,13432,-21407,18755,6.3,15810
