,"Eignir alls","Fasteignir","Ökutæki","Innlán","Verðbréf","Aðrar eignir","Skuldir alls","Íbúðalán","Aðrar skuldir","Eigið fé alls (eignir - skuldir)","Eigið fé í fasteign","Eigið fé annað","Atvinnutekjur","Fjármagnstekjur","Aðrar tekjur","Tekjur alls","Skattar","Vaxta- og barnabætur","Skattar alls","Vaxtagjöld v/íbúðalána","Önnur vaxtagjöld","Ráðstöfunartekjur (Tekjur alls -Skattar alls)","Ráðstöfunartekjur (Tekjur alls -Skattar alls - Vaxtagjöld)","Fjöldi í hóp"
"1997",239697,142363,20097,18713,49691,8833,84760,53747,31013,154937,88616,66320,73696,13200,4012,90908,24722,-618,24104,3705,896,66804,62203,14593
"1998",270843,152188,22950,22446,65402,7856,99407,58296,41111,171436,93892,77544,84023,14364,4499,102886,27969,-543,27426,3988,964,75460,70508,14751
"1999",314807,179536,25948,31350,69448,8525,107401,65790,41611,207406,113746,93660,90556,22748,5912,119216,31136,-513,30623,4360,1152,88592,83080,15074
"2000",357796,209059,28467,39035,72217,9019,124660,75190,49470,233136,133868,99267,98979,29032,7167,135178,34875,-732,34144,5031,1640,101035,94364,15296
"2001",394247,236868,27778,46526,73947,9129,142324,87411,54913,251923,149457,102466,112184,35850,8276,156309,39833,-797,39036,5740,2050,117274,109484,15528
"2002",424536,256988,27752,56688,75866,7241,147494,95313,52180,277042,161675,115367,124381,38939,9014,172334,42675,-867,41808,6508,2277,130527,121742,15639
"2003",494085,295634,29845,67800,92922,7884,164547,104978,59569,329539,190656,138883,130786,54717,10781,196284,46750,-821,45929,6928,2276,150355,141150,16020
"2004",592628,356740,33622,75229,118330,8706,195459,115403,80056,397168,241337,155831,138581,64944,12054,215578,50900,-702,50198,8081,2690,165380,154610,16201
"2005",803585,497784,41873,83468,170879,9582,241588,134197,107391,561997,363587,198411,158765,111561,12284,282610,59566,-596,58970,8190,3711,223640,211739,16683
"2006",1013771,586673,49172,108060,256669,13196,308102,162098,146003,705669,424575,281095,180801,148471,14533,343804,68289,-700,67589,8418,5829,276216,261968,17645
"2007",1281585,701740,58073,144883,359927,16962,393368,198795,194573,888217,502945,385272,211207,234435,18208,463850,84602,-851,83751,10009,8030,380099,362060,18228
"2008",1407714,721481,62492,358450,241801,23489,466646,249491,217156,941068,471991,469077,224490,152171,22226,398887,80725,-1033,79692,13158,9829,319195,296208,18829
"2009",1329267,718303,57975,297893,234589,20507,511767,284686,227080,817500,433617,383883,220570,101623,36352,358545,84958,-1402,83556,14766,16670,274989,243553,18603
"2010",1106499,633690,53233,193361,208124,18092,532664,320821,211842,573836,312869,260967,238150,43184,28298,309632,86846,-2899,83947,16380,13678,225685,195626,18669
"2011",1092022,689636,52469,151552,179732,18633,483535,307894,175641,608487,381742,226745,258419,39625,34593,332636,99256,-2289,96967,15475,8546,235669,211648,18589
"2012",1135626,767634,55981,142898,154611,14502,476251,313938,162314,659374,453697,205678,278462,45880,32500,356843,106244,-723,105521,16026,7451,251322,227844,18910
"2013",1211231,829568,59754,144539,162529,14842,482500,322930,159570,728730,506638,222093,300216,56990,31461,388667,115618,-408,115211,17907,8245,273456,247304,19324
